"","country","iso2c","iso3c","year","RQ.EST","VA.EST","PV.EST","GE.EST","CC.EST"
"1","Australia","AU","AUS",2010,1.69597673416138,1.41976547241211,0.888859868049622,1.76319003105164,2.02361083030701
"2","Australia","AU","AUS",2011,1.85212278366089,1.45372104644775,0.935710072517395,1.6899231672287,2.03790903091431
"3","Australia","AU","AUS",2012,1.77889716625214,1.49919033050537,0.997997224330902,1.61283433437347,1.97750723361969
"4","Australia","AU","AUS",2013,1.79121994972229,1.43641376495361,1.03107297420502,1.63268768787384,1.77787029743195
"5","Australia","AU","AUS",2014,1.85737347602844,1.36174380779266,1.03219199180603,1.60130333900452,1.84946465492249
"6","Australia","AU","AUS",2015,1.78380656242371,1.35561084747314,0.884979844093323,1.56022334098816,1.87995517253876
"7","Australia","AU","AUS",2016,1.89396524429321,1.35369718074799,1.04795801639557,1.56198215484619,1.81091439723969
"8","Australia","AU","AUS",2017,1.92824327945709,1.37563908100128,0.896060824394226,1.53046941757202,1.79085624217987
"9","Australia","AU","AUS",2018,1.90164244174957,1.38058078289032,0.989603996276855,1.58852088451385,1.8011109828949
"10","Australia","AU","AUS",2019,1.87215864658356,1.26739799976349,0.911745727062225,1.56487631797791,1.8221447467804
"11","Australia","AU","AUS",2020,1.82251787185669,1.30358374118805,0.850844323635101,1.61007499694824,1.66249871253967
"12","Bangladesh","BD","BGD",2010,-0.857593059539795,-0.268090695142746,-1.42578947544098,-0.752631783485413,-1.05408024787903
"13","Bangladesh","BD","BGD",2011,-0.817078590393066,-0.315068930387497,-1.40473687648773,-0.771310925483704,-1.09738862514496
"14","Bangladesh","BD","BGD",2012,-0.95947253704071,-0.401940673589706,-1.37908899784088,-0.80632072687149,-0.85661906003952
"15","Bangladesh","BD","BGD",2013,-0.923936903476715,-0.405386388301849,-1.62785887718201,-0.795478343963623,-0.893825352191925
"16","Bangladesh","BD","BGD",2014,-0.95516049861908,-0.473918706178665,-0.895563185214996,-0.773857712745667,-0.892129957675934
"17","Bangladesh","BD","BGD",2015,-0.908241212368011,-0.512037396430969,-1.2120178937912,-0.726373553276062,-0.814506709575653
"18","Bangladesh","BD","BGD",2016,-0.804246246814728,-0.583839416503906,-1.26193678379059,-0.675904393196106,-0.863241136074066
"19","Bangladesh","BD","BGD",2017,-0.813100755214691,-0.615031361579895,-1.2560807466507,-0.730936646461487,-0.835957050323486
